District	Region
Liberty ISD	10
Liberty-Eylau ISD	4
Lindale ISD	21
Linden-Kildare Cons ISD	4
Lindsay ISD	2
Lingleville ISD	7
Lipan ISD	7
Little Cypress-Mauriceville Cons ISD	10
Little Elm ISD	24
Littlefield ISD	16
Livingston ISD	10
Llano ISD	32
Lockhart ISD	12
Lockney ISD	16
Lohn ISD	32
Lometa ISD	32
London ISD	14
Lone Oak ISD	3
Longview ISD	21
Loop ISD	16
Loraine ISD	6
Lorena ISD	8
Lorenzo ISD	16
Los Fresnos Cons ISD	28
Louise ISD	13
Lovejoy ISD	25
Lovelady ISD	21
Lubbock ISD	16
Lubbock-Cooper ISD	16
Lueders-Avoca ISD	7
Lufkin ISD	21
Luling ISD	12
Lumberton ISD	10
Lyford Cons ISD	28
Lytle ISD	11
Mabank ISD	3
Madisonville Cons ISD	8
Magnolia ISD	9
Malakoff ISD	3
Malone ISD	8
Malta ISD	4
Manor ISD	26
Mansfield ISD	5
Marathon ISD	6
Marble Falls ISD	32
Marfa ISD	22
Marion ISD	12
Marlin ISD	8
Marshall ISD	4
Mart ISD	8
Martins Mill ISD	3
Martinsville ISD	21
Mason ISD	32
Matagorda ISD	13
Mathis ISD	14
Maud ISD	4
May ISD	7
Maypearl ISD	30
McAllen ISD	15
McCamey ISD	6
McDade ISD	26
McGregor ISD	8
McKinney ISD	24
McLean ISD	1
McLeod ISD	4
McMullen County ISD	14
Meadow ISD	16
Medina ISD	29
Medina Valley ISD	11
Melissa ISD	25
Memphis ISD	1
Menard ISD	6
Mercedes ISD	28
Meridian ISD	8
Merkel ISD	6
Mesquite ISD	3
Mexia ISD	8
Meyersville ISD	12
Miami ISD	1
Midland ISD	6
Midlothian ISD	5
Midway ISD (McLennan)	8
Midway ISD (Clay)	7
Milano ISD	26
Mildred ISD	8
Miles ISD	6
Milford ISD	8
Miller Grove ISD	4
Millsap ISD	30
Mineola ISD	4
Mineral Wells ISD	7
Mission Cons ISD	15
Monahans-Wickett Pyote ISD	6
Montague ISD	2
Monte Alto ISD	28
Montgomery ISD	9
Moody ISD (McLennan)	8
Moran ISD	7
Morgan ISD	8
Morgan Mill ISD	7
Morton ISD	16
Motley County ISD	16
Moulton ISD	18
Mount Calm ISD	8
Mount Enterprise ISD	21
Mount Pleasant ISD	4
Mount Vernon ISD	4
Muenster ISD	2
Muleshoe ISD	16
Mullin ISD	7
Mumford ISD	8
Munday Cons ISD	7
Murchison ISD	3
Nacogdoches ISD	21
Natalia ISD	11
Navarro ISD	12
Navasota ISD	27
Nazareth ISD	1
Neches ISD	21
Nederland ISD	10
Needville ISD	13
New Boston ISD	4
New Braunfels ISD	12
New Caney ISD	33
New Deal ISD	16
New Diana ISD	4
New Home ISD	16
New Summerfield ISD	21
New Waverly ISD	9
Newcastle ISD	7
Newton ISD	10
Nixon-Smiley Cons ISD	12
Nocona ISD	7
Nordheim ISD	12
Normangee ISD	8
North East ISD	12
Houston ISD	23
North Hopkins ISD	4
North Lamar ISD	4
North Zulch ISD	8
Northside ISD (Wilbarger)	7
Northside ISD (Bexar)	29
Northwest ISD	2
Novice ISD	7
Nueces Canyon Cons ISD	11
Nursery ISD	14
O`Donnell ISD	16
Oakwood ISD	8
Odem-Edroy ISD	14
Oglesby ISD	8
Olfen ISD	6
Olney ISD	7
Olton ISD	16
Onalaska ISD	10
Orange Grove ISD	14
Orangefield ISD	10
Ore City ISD	4
Overton ISD	21
Paducah ISD	16
Paint Creek ISD	7
Paint Rock ISD	6
Palacios ISD	13
Palestine ISD	21
Palmer ISD	3
Palo Pinto ISD	7
Pampa ISD	1
Panhandle ISD	1
Panther Creek Cons ISD	7
Paradise ISD	2
Paris ISD	4
Pasadena ISD	19
Patton Springs ISD	16
Pawnee ISD	14
Pearland ISD	19
Pearsall ISD	11
Peaster ISD	30
Pecos-Barstow-Toyah ISD	6
Penelope ISD	8
Perrin-Whitt Cons ISD	7
Perryton ISD	1
Petersburg ISD	16
Petrolia ISD	7
Pettus ISD	14
Pewitt Cons ISD	4
Pflugerville ISD	26
Pharr-San Juan-Alamo ISD	15
Pilot Point ISD	2
Pine Tree ISD	4
Pittsburg ISD	4
Plains ISD	16
Plainview ISD	16
Plano ISD	25
Pleasant Grove ISD	4
Pleasanton ISD	11
Plemons-Stinnett-Phillips Cons ISD	1
Point Isabel ISD	28
Ponder ISD	2
Poolville ISD	7
Port Aransas ISD	14
Port Arthur ISD	10
Port Neches-Groves ISD	10
Post ISD	16
Poteet ISD	11
Poth ISD	12
Pottsboro ISD	25
Prairie Lea ISD	12
Prairie Valley ISD	2
Prairiland ISD	4
Premont ISD	14
Presidio ISD	6
Priddy ISD	7
Princeton ISD	25
Pringle-Morse Cons ISD	1
Progreso ISD	28
Prosper ISD	24
Quanah ISD	7
Queen City ISD	4
Quinlan ISD	3
Quitman ISD	4
Rains ISD	3
Ralls ISD	16
Ramirez CSD	14
Randolph Field ISD	12
Ranger ISD	7
Rankin ISD	6
Raymondville ISD	28
Reagan County ISD	6
Red Lick ISD	4
Red Oak ISD	20
Redwater ISD	4
Refugio ISD	14
